ID_REF	GSM142398	GSM142399	GSM142400	GSM142401	GSM142402	GSM142403	GSM142404	GSM142405	GSM142406	GSM142407	GSM142408	GSM142409	GSM142410	GSM142411	GSM142412	GSM142413	GSM142414	GSM142415	GSM142416	GSM142417	GSM142418	GSM142419	GSM142420	GSM142421	GSM142422	GSM142423
1449491_at	97.3	34	110.9	76.9	254.5	43.6	116.4	53.5	65.1	65.1	110.5	29.1	70.4	64.2	110.9	97.1	51.2	66	106.1	47.7	45.7	54.3	9.3	38.7	65.8	54.5
1449492_a_at	8	3.1	2.3	13.6	18.2	33.6	19.2	2.9	4	20.8	5.4	6.3	2.5	6.1	53.9	4.7	3.8	5.6	10.2	5.2	12.1	3.1	15.6	3.1	12.1	2.6
1449493_at	3.6	12.7	13.6	43.7	1.7	8.3	3.3	15	11.3	24.8	3.1	35.3	81.1	44.4	38	5.7	34.4	32.1	47.8	11.2	12.4	14.2	3.9	11.1	15.9	6.9
1449494_at	1.3	2.3	29.5	18.9	10.5	12.4	13.3	17.5	7.2	5.1	1.5	9.7	2.3	23	1.8	3	2.9	4	1.6	20.7	15.7	3.4	12.2	28	20.4	2
1449495_at	3.5	4.1	3.3	2	2.1	6	3.8	1.7	8.2	9.9	9.8	14.1	23.3	172.3	25.2	6.8	3	8.8	19.7	2.8	14.3	3.6	5.3	11.4	6.1	6.3
1449496_at	50	4.9	91.1	102.1	46.1	73.1	87.2	38	34.4	103.1	58.7	43.4	69.4	89.4	15.7	33.5	53	94.6	81.8	38.5	31.7	50.6	20.3	51.1	4.8	36.1
1449497_at	23.4	20.1	45.1	63.3	19.5	49.6	37	36.2	33	65.6	58	49.1	41.7	36.5	72.3	29.5	46.2	48.3	15.4	23.6	19.5	26.1	4	20.7	4.8	56.9
1449498_at	3.6	2.1	87.1	3.6	2.8	7.8	74.5	149.7	109.8	6.5	4.8	434.3	6.5	110	110.9	6.6	7.4	14.4	623.4	23.1	236.8	371.8	70.6	42.1	446	25.9
1449499_at	7.5	13.2	18.1	14.3	12.2	17.6	18.1	151.6	178	18.8	11.9	7.6	20	21.4	9.2	5.3	6.1	11.7	7.1	6.9	3	5.2	8.3	4.8	5.3	4.5
1449500_at	84.5	0.8	102	71.1	47.3	32.1	49	45.8	34	14	2.4	25.1	34.4	2.3	49.9	22.4	12.8	43.3	36.3	12.1	14	5.4	3.5	43.4	3.1	19.5
1449501_a_at	16.3	12.4	52.1	18	216.5	312.4	1244.3	56	78.3	318.9	415.9	673.9	3654.2	1073.7	429.7	100.5	26.7	322.1	93.1	36.6	3.6	13.3	5	42.6	1.6	4.4
1449502_at	27.4	3.2	17.6	39.5	30	12.2	4.4	3.9	24.9	3.6	17.2	25.7	21.4	15	37.6	20.9	21.1	31	58.7	23.7	2	21.2	30.7	17.5	25.7	12
